Date,Inflow,Outflow
2021-10-06,8301,4077
2021-10-07,8104,3950
2021-10-08,8158,4013
2021-10-09,8221,4147
2021-10-10,8165,4154
2021-10-11,8771,4773
2021-10-12,8604,4610
2021-10-13,8023,4010
2021-10-14,8218,4252
2021-10-15,8282,4303
2021-10-16,7809,3814
2021-10-17,7692,4590
2021-10-18,8428,5376
2021-10-19,9083,6058
2021-10-20,8930,5906
2021-10-21,9200,6420
2021-10-22,9673,8296
2021-10-23,10493,9619
2021-10-24,16005,36919
2021-10-25,35351,61535
2021-10-26,39360,62323
2021-10-27,38704,56672
2021-10-28,32183,49899
2021-10-29,25022,18549
2021-10-30,20311,8207
2021-10-31,16733,4679
2021-11-01,14270,2016
2021-11-02,13349,670
2021-11-03,11918,4441
2021-11-04,11657,5830
2021-11-05,11532,5670
2021-11-06,10953,2064
2021-11-07,10494,2028
2021-11-08,9941,2695
2021-11-09,10185,4148
2021-11-10,10833,4882
2021-11-11,11853,4089
2021-11-12,14083,6368
2021-11-13,13406,6160
2021-11-14,11674,2144
2021-11-15,10157,2522
2021-11-16,9290,2698
2021-11-17,8496,3072
2021-11-18,8085,3234
2021-11-19,8064,3184
2021-11-20,7947,3050
2021-11-21,7851,2971
2021-11-22,7519,2621
2021-11-23,7627,2699
2021-11-24,7835,2897
2021-11-25,7494,3467
2021-11-26,7235,3214
2021-11-27,7304,3251
2021-11-28,7312,3216
2021-11-29,7359,3290
2021-11-30,7325,3298
2021-12-01,7217,3107
2021-12-02,6990,2873
2021-12-03,6915,3592
2021-12-04,7205,3829
2021-12-05,7462,4045
